WEBSITE_ID,DATE_ET,Z_REV_LIFETIME,Z_REV_30D,Z_REV_60D,Z_REV_120D,Z_REV_180D,Z_RPS_30D,Z_RPS_60D,Z_RPS_120D,Z_RPS_180D,Z_SESSIONS_30D,Z_US_CHROME_MIX_30D,Z_DIRECT_MIX_30D
75188,2025-03-24,0.1461059425,-0.4944348918,-0.2733540335,0.06056836621,0.1306910577,-0.8410297451,-0.1409332522,-0.06774844567,-0.09543426872,-0.2049784557,0.5745876689,0
75188,2025-03-23,0.8542541064,0.2537884931,0.3608336117,0.7793867977,0.8295683499,0.1986367962,0.7246401737,0.7077594177,0.7465774324,0.3956033272,-1.001859397,0
75188,2025-03-22,0.578649307,-0.0136427295,0.1366529661,0.5026873929,0.5619857209,0.3958726407,0.8890270798,0.8235386503,0.8840962214,-0.148931451,-1.414480677,0
75188,2025-03-21,0.7420834066,0.1043673263,0.2846989155,0.6651351291,0.7275395401,0.7013038003,1.165916168,1.024373216,1.128598901,-0.1270951475,0.5950692511,0
75188,2025-03-20,-0.1109431941,-0.7689476067,-0.4661737371,-0.2097510308,-0.1152198914,-0.179651193,0.4381450022,0.3447653327,0.3890839271,-0.9513334512,0.8374693814,0
75188,2025-03-19,-0.006473936286,-0.6776691088,-0.3732125081,-0.1263768307,-0.0128342067,-0.8081707571,-0.04644535608,-0.1081965534,-0.108875813,-0.5410626477,0.6155909957,0
75188,2025-03-18,0.5869251318,-0.2653273271,0.1523250124,0.3730834874,0.578104338,-0.6649852606,0.05448053237,-0.04034651807,-0.02438398924,-0.008133108156,1.237958694,0
75188,2025-03-17,0.7512380071,-0.1320207668,0.3084254022,0.5031929938,0.7463665631,0.6943708446,1.207038108,0.9499074633,1.089077586,-0.3476530163,0.3013715661,0
75188,2025-03-16,1.574624469,0.4970094822,1.041051224,1.232449828,1.574624469,1.540634632,1.946926654,1.544837068,1.749071269,0.03386637509,-1.428203482,0
75188,2025-03-15,2.223382401,1.014747613,1.639614456,1.801272751,2.223382401,2.241041226,2.606686833,2.014782309,2.253813828,0.2888095703,-1.31811596,0
75188,2025-03-14,1.878450016,0.7910351402,1.364822587,1.505352414,1.878450016,1.586709427,2.022574811,1.477595064,1.64665458,0.2975138916,-0.06209637956,0
75188,2025-03-13,0.8091174338,0.02528998707,0.4431642733,0.5650526804,0.8091174338,0.4535369506,0.9147507865,0.5300303723,0.6104578992,-0.1134480521,0.08306608758,0
75188,2025-03-12,0.8461154876,0.06881869759,0.4928495722,0.6049887303,0.8461154876,0.7164841104,1.170373317,0.7203874945,0.8121573431,-0.1724356365,0.3991671045,0
75188,2025-03-11,0.6561029241,-0.05796403249,0.3439826552,0.4444797238,0.6561029241,0.7812930496,1.224731733,0.7445814147,0.8291563019,-0.347314445,1.394003702,0
75188,2025-03-10,0.4280174484,-0.2109851472,0.1636339233,0.25001183,0.4280174484,1.093906258,1.54896614,0.9759845467,1.072635404,-0.6359820286,0.9806430114,0
75188,2025-03-09,0.1744368621,-0.406665168,-0.03640809224,0.03120777321,0.1744368621,0.4434186746,0.8137866812,0.3622788987,0.4019651492,-0.6802828352,-0.6679485701,0
75188,2025-03-08,0.2573382827,-0.3544282391,0.05342468591,0.1095751427,0.2573382827,0.3562344524,0.7002185036,0.2467296435,0.2798224002,-0.5935330106,-0.2670800415,0
75188,2025-03-07,0.1179447429,-0.436414925,-0.04580428032,-0.01100437106,0.1179447429,0.3481925908,0.6744488075,0.2007566952,0.234950237,-0.7002779398,0.2046280321,0
75188,2025-03-06,0.3296499442,-0.2688012672,0.1492048311,0.1778098529,0.3296499442,-0.0127315052,0.2761567306,-0.1614937292,-0.1520134325,-0.3126581059,1.392897533,0
75188,2025-03-05,-0.1568693874,-0.6171769987,-0.2436696109,-0.2524988001,-0.1568693874,-0.2995283175,-0.03937032061,-0.4455324906,-0.4596483951,-0.7084049653,1.891641015,0
